Date,^J203.JO
2015-03-06,53346.98828125
2015-03-09,52614.078125
2015-03-10,52088.5390625
2015-03-11,51753.0703125
2015-03-12,52240.05859375
2015-03-13,51798.73828125
2015-03-16,52139.1484375
2015-03-17,52300.23828125
2015-03-18,52187.48046875
2015-03-19,52741.01953125
2015-03-20,52631.78125
2015-03-23,52559.3515625
2015-03-24,52858.12109375
2015-03-25,52313.01953125
2015-03-26,51603.9296875
2015-03-27,51810.16015625
2015-03-30,52455.359375
2015-03-31,52181.94921875
2015-04-01,52281.140625
2015-04-02,52229.3203125
2015-04-03,52281.140625
2015-04-07,52595.69140625
2015-04-08,52806.0
2015-04-09,52984.55078125
2015-04-10,53420.78125
2015-04-13,53589.30859375
2015-04-14,53311.4609375
2015-04-15,53720.5703125
2015-04-16,54262.26953125
2015-04-17,53734.0390625
2015-04-20,53839.7109375
2015-04-21,54140.9296875
2015-04-22,54281.55859375
2015-04-23,54686.5390625
2015-04-24,55188.33984375
2015-04-27,54686.5390625
2015-04-28,55039.2890625
2015-04-29,54541.73828125
2015-04-30,54440.4296875
2015-05-01,54541.73828125
2015-05-04,54639.859375
2015-05-05,54574.98828125
2015-05-06,53848.73828125
2015-05-07,53238.171875
2015-05-08,53790.5703125
2015-05-11,54161.05078125
2015-05-12,53934.41015625
2015-05-13,54053.921875
2015-05-14,53874.58984375
2015-05-15,54028.171875
2015-05-18,54409.4296875
2015-05-19,54327.12890625
2015-05-20,54192.0703125
2015-05-21,54123.890625
2015-05-22,54055.37890625
2015-05-25,53985.66015625
2015-05-26,52963.390625
2015-05-27,52933.33984375
2015-05-28,52810.359375
2015-05-29,52270.859375
2015-06-01,52073.87890625
2015-06-02,52185.609375
2015-06-03,51850.671875
2015-06-04,51323.6796875
2015-06-05,51694.25
2015-06-08,51623.30078125
2015-06-09,51080.26171875
2015-06-10,51958.26953125
2015-06-11,51881.44921875
2015-06-12,51828.76171875
2015-06-15,51297.87890625
2015-06-16,51828.76171875
2015-06-17,51595.66015625
2015-06-18,51900.53125
2015-06-19,51806.7109375
2015-06-22,52189.3203125
2015-06-23,52592.0
2015-06-24,52783.8515625
2015-06-25,52856.390625
2015-06-26,52669.75
2015-06-29,51999.921875
2015-06-30,51806.94921875
2015-07-01,51888.0390625
2015-07-02,52215.46875
2015-07-03,51967.078125
2015-07-06,51381.21875
2015-07-07,49997.7890625
2015-07-08,50235.76171875
2015-07-09,51452.359375
2015-07-10,51800.69921875
2015-07-13,52474.8203125
2015-07-14,52109.51953125
2015-07-15,52531.12890625
2015-07-16,52849.12109375
2015-07-17,52723.71875
2015-07-20,52988.3203125
2015-07-21,52901.421875
